state,tax_type_id,tax_type_name,amount_thousands
Nebraska,11212,Sales and Gross Receipts Taxes,2315830
Nebraska,112123,License Taxes,172391
Nebraska,112124,Income Taxes,2584059
Nebraska,112125,Other Taxes,14360
Nevada,11211,Property Taxes,242168
Nevada,11212,Sales and Gross Receipts Taxes,6038768
Nevada,112123,License Taxes,649333
Nevada,112124,Income Taxes,0
Nevada,112125,Other Taxes,602720
New Hampshire,11211,Property Taxes,404579
New Hampshire,11212,Sales and Gross Receipts Taxes,970102
New Hampshire,112123,License Taxes,322667
New Hampshire,112124,Income Taxes,672717
New Hampshire,112125,Other Taxes,117672
New Jersey,11211,Property Taxes,4547
New Jersey,11212,Sales and Gross Receipts Taxes,12951867
New Jersey,112123,License Taxes,1553255
New Jersey,112124,Income Taxes,15829393
New Jersey,112125,Other Taxes,1228592
New Mexico,11211,Property Taxes,108803
New Mexico,11212,Sales and Gross Receipts Taxes,2995689
New Mexico,112123,License Taxes,272008
New Mexico,112124,Income Taxes,1631201
New Mexico,112125,Other Taxes,1001742
New York,11211,Property Taxes,
New York,11212,Sales and Gross Receipts Taxes,23969841
New York,112123,License Taxes,1764149
New York,112124,Income Taxes,48797671
New York,112125,Other Taxes,3711068
North Carolina,11211,Property Taxes,
North Carolina,11212,Sales and Gross Receipts Taxes,10712738
North Carolina,112123,License Taxes,1753433
North Carolina,112124,Income Taxes,12527873
North Carolina,112125,Other Taxes,67548
North Dakota,11211,Property Taxes,3505
North Dakota,11212,Sales and Gross Receipts Taxes,1938816
North Dakota,112123,License Taxes,225540
North Dakota,112124,Income Taxes,722658
North Dakota,112125,Other Taxes,2849324
Ohio,11211,Property Taxes,
Ohio,11212,Sales and Gross Receipts Taxes,17214405
Ohio,112123,License Taxes,2171231
Ohio,112124,Income Taxes,8885559
Ohio,112125,Other Taxes,25961
Oklahoma,11211,Property Taxes,
Oklahoma,11212,Sales and Gross Receipts Taxes,4136027
Oklahoma,112123,License Taxes,1055808
Oklahoma,112124,Income Taxes,3640820
Oklahoma,112125,Other Taxes,574738
Oregon,11211,Property Taxes,20336
Oregon,11212,Sales and Gross Receipts Taxes,1498647
Oregon,112123,License Taxes,987018
Oregon,112124,Income Taxes,7930842
Oregon,112125,Other Taxes,138322
Pennsylvania,11211,Property Taxes,41859
Pennsylvania,11212,Sales and Gross Receipts Taxes,18369805
Pennsylvania,112123,License Taxes,2222055
Pennsylvania,112124,Income Taxes,13999109
Pennsylvania,112125,Other Taxes,1477467
Rhode Island,11211,Property Taxes,2480
Rhode Island,11212,Sales and Gross Receipts Taxes,1620523
Rhode Island,112123,License Taxes,120832
Rhode Island,112124,Income Taxes,1391704
Rhode Island,112125,Other Taxes,61134
South Carolina,11211,Property Taxes,26394
South Carolina,11212,Sales and Gross Receipts Taxes,4891618
South Carolina,112123,License Taxes,524285
South Carolina,112124,Income Taxes,4119129
South Carolina,112125,Other Taxes,71605
South Dakota,11211,Property Taxes,
South Dakota,11212,Sales and Gross Receipts Taxes,1372682
South Dakota,112123,License Taxes,288796
South Dakota,112124,Income Taxes,4334
South Dakota,112125,Other Taxes,8296
Tennessee,11211,Property Taxes,
Tennessee,11212,Sales and Gross Receipts Taxes,9195880
Tennessee,112123,License Taxes,1502770
Tennessee,112124,Income Taxes,1703169
Tennessee,112125,Other Taxes,295836
Texas,11211,Property Taxes,
Texas,11212,Sales and Gross Receipts Taxes,47654182
Texas,112123,License Taxes,3426885
Texas,112124,Income Taxes,0
Texas,112125,Other Taxes,4005371
Utah,11211,Property Taxes,
Utah,11212,Sales and Gross Receipts Taxes,2766724
Utah,112123,License Taxes,280021
Utah,112124,Income Taxes,3526399
Utah,112125,Other Taxes,130212
Vermont,11211,Property Taxes,1035611
Vermont,11212,Sales and Gross Receipts Taxes,1026188
Vermont,112123,License Taxes,111527
Vermont,112124,Income Taxes,821953
Vermont,112125,Other Taxes,47873
Virginia,11211,Property Taxes,32712
Virginia,11212,Sales and Gross Receipts Taxes,6495087
Virginia,112123,License Taxes,829279
Virginia,112124,Income Taxes,12721796
Virginia,112125,Other Taxes,458011
Washington,11211,Property Taxes,2018393
Washington,11212,Sales and Gross Receipts Taxes,16241234
Washington,112123,License Taxes,1396989
Washington,112124,Income Taxes,0
Washington,112125,Other Taxes,987838
West Virginia,11211,Property Taxes,6678
West Virginia,11212,Sales and Gross Receipts Taxes,2619323
West Virginia,112123,License Taxes,138918
West Virginia,112124,Income Taxes,2121215
West Virginia,112125,Other Taxes,679850
Wisconsin,11211,Property Taxes,165155
Wisconsin,11212,Sales and Gross Receipts Taxes,7647097
Wisconsin,112123,License Taxes,1026575
Wisconsin,112124,Income Taxes,8101659
Wisconsin,112125,Other Taxes,78540
Wyoming,11211,Property Taxes,318569
Wyoming,11212,Sales and Gross Receipts Taxes,994850
Wyoming,112123,License Taxes,153768
Wyoming,112124,Income Taxes,0
Wyoming,112125,Other Taxes,889136
